given	short	long
Department Of Neurovirology National Institute Of Mental Health And Neurosciences(NIMHANS)	NIMHANS	National Institute Of Mental Health And Neurosciences
Osmania University	Osmania University	Osmania University
Department Of Veterinary Biotechnalogy College Of Veterinary Science Rajendranagar Pv Narsimha Rao Telengana Veterinary University	PVNRTVU	P.V. Narsimha Rao Telangana Veterinary University Administrative Office
Laboratory Medicine And Molecular Diagnostics	RGCB	Rajiv Gandhi Centre for Biotechnology 
Department Of Molecular Medicine & Biotechnology Sanjay Gandhi Postgraduate Institute Of Medical Sciences Lucknow	SGPIMS	Sanjay Gandhi Postgraduate Institute of Medical Sciences
S M S Medical College	SMS Medical College	Sawai Man Singh Medical College
S M S Medical College Jaipur Rajasthan	SMS Medical College	Sawai Man Singh Medical College
Smc Vijayawada	SMS Medical College	Sawai Man Singh Medical College
Sms Medical College	SMS Medical College	Sawai Man Singh Medical College
Sms Medical College Jaipur	SMS Medical College	Sawai Man Singh Medical College
Bioinformatics Sriher	SRIHER	Sri Ramachandra Institute of Higher Education and Research
Clinical Research Sri Ramachandra Institute Of Higher Education And Research	SRIHER	Sri Ramachandra Institute of Higher Education and Research
M Sc Medical Bioinformatics Shri Ramachandra University	SRIHER	Sri Ramachandra Institute of Higher Education and Research
Medical Bioinformatics Sri Ramachandra Institute Of Higher Education And Research	SRIHER	Sri Ramachandra Institute of Higher Education and Research
Medical Bioinformatics Sri Ramachandra University	SRIHER	Sri Ramachandra Institute of Higher Education and Research
MSC Medical Bioinformatics Sri Ramachandra Institute Of Higher Education And Research	SRIHER	Sri Ramachandra Institute of Higher Education and Research
MSC Stem Cell Ramachandra	SRIHER	Sri Ramachandra Institute of Higher Education and Research
Strand Life Sciences (Supported By In Covid Support Fze Llc)	Strand Life Sciences Pvt. Ltd	Strand Life Sciences Pvt. Ltd
Infection And Immunology Translational Health Science And Technology Institute	THSTI	Infection And Immunology Translational Health Science And Technology Institute
Molecular Genetics Laboratory Thsti Faridabad	THSTI	Infection And Immunology Translational Health Science And Technology Institute
Thsti Bioassay Laboratory	THSTI	Infection And Immunology Translational Health Science And Technology Institute
Laboratory Of Molecular Therapeutics Department Of Biotechnology And Bioinformatics School Of Life Sciences University Of Hyderabad	Univ. of Hyderabad	University of Hyderabad
VRDL	VRDL - GMC	VRDL - Gandhi Medical College
VRDL Gandhi Medical College	VRDL - GMC	VRDL - Gandhi Medical College
State Level VRDL Gmch	VRDL - GMCH	VRDL - Gauhati Medical College
Regional VRDL Dibrugarh	VRDL Dibrugarh	Regional VRDL Dibrugarh
Regional VRDL ICMR Rmrc Dibrugarh	VRDL Dibrugarh	Regional VRDL Dibrugarh
Center For Genomics Department Of Microbiology Bj Government Medical College And Sassoon Hospitals Pune 411001 Maharashtra India	BJ Govt. Medical College	BJ Government Medical College And Sassoon Hospitals Pune
